Page Title,URL,Num Of Pictures,Num Of Languages,Num Of References,Num Of Contents,Num Of Tables,Num Of Categories,Num Of Redirects,Views In 30 Last Days,Avg Views Per Day,Total Views,Num Of Edits
Madrid Motor Show,https://en.wikipedia.org/wiki/Madrid_Motor_Show,1,2,1,6,0,5,0,27,5.738305942,13617,25
The Two Crusaders,https://en.wikipedia.org/wiki/The_Two_Crusaders,2,3,3,5,0,13,2,77,6.503581964,15433,18
Sligo,https://en.wikipedia.org/wiki/Sligo,22,52,56,18,1,6,10,"9,282",388.820059,922670,"2,429"
Sam Craigie,https://en.wikipedia.org/wiki/Sam_Craigie,1,5,25,6,4,4,0,"1,312",37.18626212,88243,309
Piet Rinke,https://en.wikipedia.org/wiki/Piet_Rinke,0,2,1,5,0,9,1,29,3.359460598,7972,38
Electoral results for the division of Arafura,https://en.wikipedia.org/wiki/Electoral_results_for_the_division_of_Arafura,0,0,17,3,13,1,0,11,1.84660767,4382,27
People's Park (Zibo),https://en.wikipedia.org/wiki/People%27s_Park_(Zibo),0,0,1,0,0,4,0,17,1.994521702,4733,11
Antonio Leto,https://en.wikipedia.org/wiki/Antonio_Leto,1,4,7,0,0,12,1,84,4.990729035,11843,31
John Bacon (cricketer),https://en.wikipedia.org/wiki/John_Bacon_(cricketer),0,1,5,0,0,8,0,14,2.576906869,6115,13
Sibyls (Raphael),https://en.wikipedia.org/wiki/Sibyls_(Raphael),2,3,3,0,0,6,0,155,12.36030341,29331,29
"Pittsburg, Kentucky","https://en.wikipedia.org/wiki/Pittsburg,_Kentucky",3,1,2,0,0,4,1,67,4.723978087,11210,31
Earth Defense Force: Iron Rain,https://en.wikipedia.org/wiki/Earth_Defense_Force:_Iron_Rain,1,1,13,4,2,11,0,"1,572",56.38811631,133809,32
Naayak,https://en.wikipedia.org/wiki/Naayak,3,3,98,10,1,21,1,"14,325",487.2031184,1156133,"1,145"
Burabay District,https://en.wikipedia.org/wiki/Burabay_District,3,14,4,0,0,3,1,50,4.9662874,11785,61
Matteo Furlan,https://en.wikipedia.org/wiki/Matteo_Furlan,2,5,2,0,0,15,0,18,1.716814159,4074,34
Malachy McCourt,https://en.wikipedia.org/wiki/Malachy_McCourt,4,5,10,9,1,9,2,"4,672",156.1694058,370590,406
"List of human spaceflights, 2001–2010","https://en.wikipedia.org/wiki/List_of_human_spaceflights,_2001%E2%80%932010",1,11,0,0,1,4,4,288,7.881163085,18702,352
Hashira-e,https://en.wikipedia.org/wiki/Hashira-e,6,3,2,0,0,1,1,249,1.953223767,4635,11
1970 Stockholm Open,https://en.wikipedia.org/wiki/1970_Stockholm_Open,0,1,3,3,0,5,0,9,2.319005478,5503,30
Alfonso Núñez,https://en.wikipedia.org/wiki/Alfonso_N%C3%BA%C3%B1ez,0,1,2,0,0,3,1,31,2.771597134,6577,11
Hikaru,https://en.wikipedia.org/wiki/Hikaru,0,2,0,4,0,2,1,"1,533",56.49515381,134063,233
Michael Graubart Levin,https://en.wikipedia.org/wiki/Michael_Graubart_Levin,0,0,13,5,0,3,1,140,8.632532659,20485,80
List of ambassadors to Switzerland,https://en.wikipedia.org/wiki/List_of_ambassadors_to_Switzerland,3,0,0,0,1,4,1,121,12.18036241,28904,69
Hasta que te conocí (TV series),https://en.wikipedia.org/wiki/Hasta_que_te_conoc%C3%AD_(TV_series),1,3,11,6,2,4,0,666,100.5672145,238646,107
Vadena,https://en.wikipedia.org/wiki/Vadena,3,44,6,5,1,1,3,89,6.262958281,14862,121
Russian Squash Federation,https://en.wikipedia.org/wiki/Russian_Squash_Federation,6,0,0,0,0,7,0,11,3.435735356,8153,18
Bari Sangat Bihar,https://en.wikipedia.org/wiki/Bari_Sangat_Bihar,1,2,1,0,0,1,0,21,3.262115466,7741,23
A. Kalenahalli,https://en.wikipedia.org/wiki/A._Kalenahalli,3,3,4,0,0,2,0,61,5.533080489,13130,18
Biddenham Dovecote,https://en.wikipedia.org/wiki/Biddenham_Dovecote,1,0,3,0,0,3,0,7,1.646017699,3906,54
Gunnar Andrén,https://en.wikipedia.org/wiki/Gunnar_Andr%C3%A9n,3,3,1,0,0,6,1,18,2.316477033,5497,28
Alexandra Bell (artist),https://en.wikipedia.org/wiki/Alexandra_Bell_(artist),0,2,24,5,0,13,0,40,0.306784661,728,71
NSW SES Bush Search and Rescue,https://en.wikipedia.org/wiki/NSW_SES_Bush_Search_and_Rescue,0,0,10,6,0,1,3,32,1.426885799,3386,91
1997 Algerian legislative election,https://en.wikipedia.org/wiki/1997_Algerian_legislative_election,5,3,1,0,1,7,2,234,4.855457227,11522,46
"Gottlob! nun geht das Jahr zu Ende, BWV 28","https://en.wikipedia.org/wiki/Gottlob!_nun_geht_das_Jahr_zu_Ende,_BWV_28",5,9,11,8,1,2,2,119,7.879056047,18697,130
2012 Victory Bowl,https://en.wikipedia.org/wiki/2012_Victory_Bowl,0,0,2,2,0,6,0,11,1.809945217,4295,13
"Mackville, Missouri","https://en.wikipedia.org/wiki/Mackville,_Missouri",1,0,3,0,0,3,0,7,1.273493468,3022,7
GHN (news agency),https://en.wikipedia.org/wiki/GHN_(news_agency),4,0,1,0,0,4,0,54,3.993678887,9477,11
Çağla Şimşek,https://en.wikipedia.org/wiki/%C3%87a%C4%9Fla_%C5%9Eim%C5%9Fek,1,3,6,4,1,7,0,"2,056",3.531816266,8381,9
443d Air Expeditionary Squadron,https://en.wikipedia.org/wiki/443d_Air_Expeditionary_Squadron,3,0,7,3,0,1,4,65,3.477033291,8251,42
German flat racing Champion Jockey,https://en.wikipedia.org/wiki/German_flat_racing_Champion_Jockey,1,1,4,4,0,2,0,37,3.677623262,8727,18
Alleghany Springs Springhouse,https://en.wikipedia.org/wiki/Alleghany_Springs_Springhouse,4,0,3,0,0,6,0,17,2.391066161,5674,11
Odogaon Raghunath Temple,https://en.wikipedia.org/wiki/Odogaon_Raghunath_Temple,3,3,2,0,0,3,0,218,13.19300464,31307,62
Ethanolamine-phosphate cytidylyltransferase,https://en.wikipedia.org/wiki/Ethanolamine-phosphate_cytidylyltransferase,1,2,0,0,0,3,2,45,5.17867678,12289,10
San Juan Sharks,https://en.wikipedia.org/wiki/San_Juan_Sharks,2,0,1,0,0,4,0,11,1.917825537,4551,12
Cape Schuchert Formation,https://en.wikipedia.org/wiki/Cape_Schuchert_Formation,1,0,0,0,0,5,0,3,1.330804888,3158,12
Tyrone Ellis,https://en.wikipedia.org/wiki/Tyrone_Ellis,1,5,5,5,0,32,1,136,18.84955752,44730,101
U ime naroda,https://en.wikipedia.org/wiki/U_ime_naroda,1,5,5,7,1,3,0,98,6.609776654,15685,44
List of National Historic Sites of Canada in Nunavut,https://en.wikipedia.org/wiki/List_of_National_Historic_Sites_of_Canada_in_Nunavut,9,2,17,0,1,3,0,103,11.50779604,27308,42
The Big Clock,https://en.wikipedia.org/wiki/The_Big_Clock,4,2,8,7,0,4,0,981,34.26590813,81313,90
ESP M-II,https://en.wikipedia.org/wiki/ESP_M-II,1,0,1,0,0,1,0,181,15.97513696,37909,46
Alpine skiing at the 1976 Winter Olympics – Women's giant slalom,https://en.wikipedia.org/wiki/Alpine_skiing_at_the_1976_Winter_Olympics_%E2%80%93_Women%27s_giant_slalom,3,2,8,0,1,3,1,24,2.928360725,6949,19
Brooklyn Fair,https://en.wikipedia.org/wiki/Brooklyn_Fair,2,0,9,0,1,6,0,29,5.756426464,13660,41
Alankāra,https://en.wikipedia.org/wiki/Alank%C4%81ra,1,6,3,4,0,3,2,"1,135",1.451327434,3444,59
Oka cheese,https://en.wikipedia.org/wiki/Oka_cheese,2,3,3,0,0,6,2,"1,018",64.49473241,153046,132
Frederic H. Bontecou,https://en.wikipedia.org/wiki/Frederic_H._Bontecou,0,1,8,0,1,13,1,37,3.899283607,9253,24
Hong Kong Technology Venture,https://en.wikipedia.org/wiki/Hong_Kong_Technology_Venture,5,5,30,8,0,7,4,"1,026",2.427728614,5761,139
Office of the Prosecutor General of the Republic of Moldova,https://en.wikipedia.org/wiki/Office_of_the_Prosecutor_General_of_the_Republic_of_Moldova,0,2,8,6,0,3,3,55,2.263801096,5372,23
Konrad Wolf Film University of Babelsberg,https://en.wikipedia.org/wiki/Konrad_Wolf_Film_University_of_Babelsberg,2,4,12,6,0,4,3,272,9.214075011,21865,25
Albertia naidis,https://en.wikipedia.org/wiki/Albertia_naidis,1,4,1,0,0,2,0,8,0.213653603,507,3
"Parral, Chihuahua","https://en.wikipedia.org/wiki/Parral,_Chihuahua",7,22,8,11,1,3,6,"1,731",82.23135272,195135,331
Van Morrison: No Surrender,https://en.wikipedia.org/wiki/Van_Morrison:_No_Surrender,3,0,23,7,0,4,1,241,11.18457649,26541,80
Great Britain at the 1924 Winter Olympics,https://en.wikipedia.org/wiki/Great_Britain_at_the_1924_Winter_Olympics,1,16,0,7,11,4,2,211,14.7694901,35048,73
James Thornton (environmentalist),https://en.wikipedia.org/wiki/James_Thornton_(environmentalist),2,0,34,4,0,3,1,193,18.07669617,42896,96
1988–89 Rugby Union County Championship,https://en.wikipedia.org/wiki/1988%E2%80%9389_Rugby_Union_County_Championship,1,0,5,4,1,2,1,16,0.933417615,2215,8
Fiat A.22,https://en.wikipedia.org/wiki/Fiat_A.22,2,3,5,7,0,2,5,73,4.972187105,11799,48
Reservoir Park (Pennsylvania),https://en.wikipedia.org/wiki/Reservoir_Park_(Pennsylvania),3,1,4,0,0,3,2,46,4.766961652,11312,33
List of archaeological periods (North America),https://en.wikipedia.org/wiki/List_of_archaeological_periods_(North_America),10,3,6,7,2,11,7,946,84.21238938,199836,278
Epcot Resort Area,https://en.wikipedia.org/wiki/Epcot_Resort_Area,3,0,0,6,0,1,3,743,41.09776654,97525,121
Kenti Robles,https://en.wikipedia.org/wiki/Kenti_Robles,5,8,9,5,0,28,0,"1,125",27.10872314,64329,154
Tirgo,https://en.wikipedia.org/wiki/Tirgo,5,28,2,0,0,2,0,16,3.513274336,8337,21
Mike Reidy,https://en.wikipedia.org/wiki/Mike_Reidy,2,1,4,3,0,11,0,37,3.075010535,7297,24
Army Nurses Memorial,https://en.wikipedia.org/wiki/Army_Nurses_Memorial,2,0,1,0,0,11,0,35,1.945217025,4616,36
Jehu Reed House,https://en.wikipedia.org/wiki/Jehu_Reed_House,4,0,2,0,0,5,0,22,3.458912769,8208,11
Salma bint Umays,https://en.wikipedia.org/wiki/Salma_bint_Umays,2,4,3,0,0,4,1,384,11.83649389,28088,62
List of current British princes and princesses,https://en.wikipedia.org/wiki/List_of_current_British_princes_and_princesses,24,0,7,5,2,6,1,"6,501",45.43994943,107829,298
2011 USARL season,https://en.wikipedia.org/wiki/2011_USARL_season,89,0,9,6,3,4,1,22,4.656974294,11051,174
Breathe (Mike Peters album),https://en.wikipedia.org/wiki/Breathe_(Mike_Peters_album),4,0,1,8,0,2,5,34,3.81795196,9060,55
1927 Kansas Jayhawks football team,https://en.wikipedia.org/wiki/1927_Kansas_Jayhawks_football_team,0,0,2,0,1,3,1,14,1.450906026,3443,8
Hasan Şengün,https://en.wikipedia.org/wiki/Hasan_%C5%9Eeng%C3%BCn,2,2,2,0,0,10,0,23,0.535187526,1270,1
The Lucky Golden Stripes and Starpose,https://en.wikipedia.org/wiki/The_Lucky_Golden_Stripes_and_Starpose,2,1,1,5,0,4,0,71,2.997050147,7112,20
Hold on Hope,https://en.wikipedia.org/wiki/Hold_on_Hope,1,2,1,0,1,2,2,172,12.92414665,30669,24
Wouly de Bie,https://en.wikipedia.org/wiki/Wouly_de_Bie,2,2,0,0,0,10,0,18,2.853771597,6772,58
Kalado,https://en.wikipedia.org/wiki/Kalado,0,0,8,0,0,6,0,90,8.056047198,19117,41
"Antaliya, Amreli","https://en.wikipedia.org/wiki/Antaliya,_Amreli",3,1,1,0,0,2,0,15,0.359460598,853,30
Karnataka State Film Award for Best Book on Kannada Cinema,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Book_on_Kannada_Cinema,0,0,3,0,1,1,0,17,1.639275179,3890,25
Heath Benedict,https://en.wikipedia.org/wiki/Heath_Benedict,2,0,3,5,0,11,0,288,11.77833965,27950,83
Mayurpankh,https://en.wikipedia.org/wiki/Mayurpankh,2,1,5,5,1,7,0,166,8.881584492,21076,53
Ctenotus agrestis,https://en.wikipedia.org/wiki/Ctenotus_agrestis,0,7,2,0,0,5,1,5,0.311420143,739,4
Marcia Arriaga,https://en.wikipedia.org/wiki/Marcia_Arriaga,2,2,1,0,0,15,0,5,1.335018963,3168,19
Gulbadan Begum (politician),https://en.wikipedia.org/wiki/Gulbadan_Begum_(politician),1,1,2,0,0,6,1,3,0.074589128,177,9
"Hasanabad, Raz and Jargalan","https://en.wikipedia.org/wiki/Hasanabad,_Raz_and_Jargalan",2,4,2,0,0,2,0,6,1.827222925,4336,4
Kontour,https://en.wikipedia.org/wiki/Kontour,1,0,10,5,0,6,0,22,4.423935946,10498,147
Montenegro national under-19 football team,https://en.wikipedia.org/wiki/Montenegro_national_under-19_football_team,0,4,1,5,2,2,0,71,9.699536452,23017,107
Michelle Lemmons-Poscente,https://en.wikipedia.org/wiki/Michelle_Lemmons-Poscente,1,1,0,0,0,5,1,43,4.217024863,10007,78
Gendarmerie (Austria),https://en.wikipedia.org/wiki/Gendarmerie_(Austria),3,5,0,9,1,5,3,695,23.28445006,55254,104
"Idoa, Nigeria","https://en.wikipedia.org/wiki/Idoa,_Nigeria",37,0,8,4,0,1,3,39,1.595027391,3785,73
"Meyronne, Saskatchewan","https://en.wikipedia.org/wiki/Meyronne,_Saskatchewan",6,0,8,5,0,7,0,52,4.420564686,10490,45
David Shoenberg,https://en.wikipedia.org/wiki/David_Shoenberg,0,6,10,3,0,11,1,113,8.592498946,20390,84
Candlelights (song),https://en.wikipedia.org/wiki/Candlelights_(song),2,0,5,5,0,2,1,25,2.587863464,6141,71
Ge Lin Chu,https://en.wikipedia.org/wiki/Ge_Lin_Chu,0,0,2,0,0,3,1,6,0.788453434,1871,10
2015 American League Championship Series,https://en.wikipedia.org/wiki/2015_American_League_Championship_Series,1,4,26,5,8,9,2,404,115.5242309,274139,570
Nigel Ball,https://en.wikipedia.org/wiki/Nigel_Ball,0,1,0,5,1,10,1,19,2.528023599,5999,48
Gamadji Saré (arrondissement),https://en.wikipedia.org/wiki/Gamadji_Sar%C3%A9_(arrondissement),1,1,2,0,0,2,1,18,1.120522545,2659,9
Leonardo Fioravanti (doctor),https://en.wikipedia.org/wiki/Leonardo_Fioravanti_(doctor),3,5,2,4,0,5,0,78,7.148756848,16964,34
Structural Equations with Latent Variables,https://en.wikipedia.org/wiki/Structural_Equations_with_Latent_Variables,2,0,8,4,0,3,0,91,5.639696587,13383,51
Henry Engelhardt,https://en.wikipedia.org/wiki/Henry_Engelhardt,2,3,10,4,0,14,0,325,30.66203118,72761,88
John F. Kennedy Memorial Hospital,https://en.wikipedia.org/wiki/John_F._Kennedy_Memorial_Hospital,0,0,11,4,0,3,0,111,7.426042984,17622,50
Giulio Cesare Polerio,https://en.wikipedia.org/wiki/Giulio_Cesare_Polerio,1,18,25,6,0,8,4,777,23.84365782,56581,269
Johann Jakob Scherer,https://en.wikipedia.org/wiki/Johann_Jakob_Scherer,4,13,1,0,1,10,0,41,4.030762748,9565,51
Glass Jaw,https://en.wikipedia.org/wiki/Glass_Jaw,3,0,0,5,0,9,1,61,4.904340497,11638,27
Journal of Moral Philosophy,https://en.wikipedia.org/wiki/Journal_of_Moral_Philosophy,2,1,1,0,0,2,6,78,6.459755584,15329,45
Nauyat Formation,https://en.wikipedia.org/wiki/Nauyat_Formation,2,0,1,0,0,8,0,4,1.911504425,4536,19
James Carpinello,https://en.wikipedia.org/wiki/James_Carpinello,1,9,8,7,3,9,2,"9,732",469.0484619,1113052,257
Beer cheese (spread),https://en.wikipedia.org/wiki/Beer_cheese_(spread),2,6,7,6,0,4,1,"2,381",110.7787611,262878,205
Isaac Homer,https://en.wikipedia.org/wiki/Isaac_Homer,3,0,2,0,0,10,0,49,1.000842815,2375,4
"Sarama, Cyprus","https://en.wikipedia.org/wiki/Sarama,_Cyprus",3,6,8,0,0,3,1,26,3.561736199,8452,24
USS Flasher,https://en.wikipedia.org/wiki/USS_Flasher,0,4,0,0,0,2,0,14,1.955330805,4640,13
Crooked Little Thoughts,https://en.wikipedia.org/wiki/Crooked_Little_Thoughts,1,0,5,5,1,3,0,21,2.294985251,5446,13
Charles-Simon Catel,https://en.wikipedia.org/wiki/Charles-Simon_Catel,3,12,0,3,0,13,2,105,5.83986515,13858,57
Dulcitone,https://en.wikipedia.org/wiki/Dulcitone,9,2,2,5,0,3,0,977,30.91066161,73351,62
Lloyd Barnes,https://en.wikipedia.org/wiki/Lloyd_Barnes,0,3,4,0,0,4,2,98,8.212389381,19488,34
Udmurt Regional Committee of the Communist Party of the Soviet Union,https://en.wikipedia.org/wiki/Udmurt_Regional_Committee_of_the_Communist_Party_of_the_Soviet_Union,0,1,1,4,1,4,1,9,0.733670459,1741,10
